"numeroAnexo","descAnexo","item","cest","ncms","descricao"
"Anexo II","Autopeças","1.0","0100100","[""38151210"",""38151290""]","Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores"
"Anexo II","Autopeças","2.0","0100200","[""3917""]","Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos"
"Anexo II","Autopeças","3.0","0100300","[""39181000""]","Protetores de caçamba"
"Anexo II","Autopeças","4.0","0100400","[""39233000""]","Reservatórios de óleo"
"Anexo II","Autopeças","5.0","0100500","[""39263000""]","Frisos, decalques, molduras e acabamentos"
"Anexo II","Autopeças","6.0","0100600","[""40103"",""59100000""]","Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias"
"Anexo II","Autopeças","7.0","0100700","[""40169300"",""4823909""]","Juntas, gaxetas e outros elementos com função semelhante de vedação"
"Anexo II","Autopeças","8.0","0100800","[""40161010""]","Partes de veículos automóveis, tratores e máquinas autopropulsadas"
"Anexo II","Autopeças","9.0","0100900","[""40169990"",""57050000""]","Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins"
"Anexo II","Autopeças","10.0","0101000","[""59039000""]","Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico"
"Anexo II","Autopeças","11.0","0101100","[""59090000""]","Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias"
"Anexo II","Autopeças","12.0","0101200","[""63061""]","Encerados e toldos"
"Anexo II","Autopeças","13.0","0101300","[""65061000""]","Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores"
"Anexo II","Autopeças","14.0","0101400","[""6813""]","Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias"
"Anexo II","Autopeças","15.0","0101500","[""70071100"",""70072100""]","Vidros de dimensões e formatos que permitam aplicação automotiva"
"Anexo II","Autopeças","16.0","0101600","[""70091000""]","Espelhos retrovisores"
"Anexo II","Autopeças","17.0","0101700","[""70140000""]","Lentes de faróis, lanternas e outros utensílios"
"Anexo II","Autopeças","18.0","0101800","[""73110000""]","Cilindro de aço para GNV (gás natural veicular)"
"Anexo II","Autopeças","19.0","0101900","[""73110000""]","Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0"
"Anexo II","Autopeças","20.0","0102000","[""7320""]","Molas e folhas de molas, de ferro ou aço"
"Anexo II","Autopeças","21.0","0102100","[""7325""]","Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00"
"Anexo II","Autopeças","22.0","0102200","[""780600""]","Peso de chumbo para balanceamento de roda"
"Anexo II","Autopeças","23.0","0102300","[""80070090""]","Peso para balanceamento de roda e outros utensílios de estanho"
"Anexo II","Autopeças","24.0","0102400","[""830120"",""830160""]","Fechaduras e partes de fechaduras"
"Anexo II","Autopeças","25.0","0102500","[""830170""]","Chaves apresentadas isoladamente"
"Anexo II","Autopeças","26.0","0102600","[""83021000"",""83023000""]","Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns"
"Anexo II","Autopeças","27.0","0102700","[""831000""]","Triângulo de segurança"
"Anexo II","Autopeças","28.0","0102800","[""84073""]","Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87"
"Anexo II","Autopeças","29.0","0102900","[""840820""]","Motores dos tipos utilizados para propulsão de veículos automotores"
"Anexo II","Autopeças","30.0","0103000","[""84099""]","Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408"
"Anexo II","Autopeças","31.0","0103100","[""84122""]","Motores hidráulicos"
"Anexo II","Autopeças","32.0","0103200","[""841330""]","Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão"
"Anexo II","Autopeças","33.0","0103300","[""84141000""]","Bombas de vácuo"
"Anexo II","Autopeças","34.0","0103400","[""8414801"",""8414802""]","Compressores e turbocompressores de ar"
