"codigo","codigoPai","descricao","nivel","ehFolha"
"10101","101","Serviços de construção de edificações residenciais",2,false
"101011000","10101","Serviços de construção de edificações residenciais de um e dois pavimentos",3,true
"101012000","10101","Serviços de construção de edificações residenciais com mais de dois pavimentos",3,true
"10102","101","Serviços de construção de edificações não residenciais",2,false
"101021000","10102","Serviços de construção de edificações industriais",3,true
"101022000","10102","Serviços de construção de edificações comerciais",3,true
"101029000","10102","Outros serviços de construção de edificações não residenciais",3,true
"10103","101","Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas, estradas, estradas férreas e pistas de pouso e decolagem em aeroportos e infraestrutura aeroportuária",2,false
"101031000","10103","Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas.",3,true
"101032000","10103","Serviços de construção de estradas férreas ",3,true
"101033000","10103","Serviços de construção de pistas de pouso e decolagem em aeroportos",3,true
"101034000","10103","Serviços de construção de infraestrutura aeroportuária",3,true
"101040000","101","Serviços de construção de pontes, autoestradas elevadas e túneis",2,true
"10105","101","Serviços de construção de portos e sua infraestrutura",2,false
"101051","10105","Serviços de construção de infraestrutura de proteção e acesso aquaviário",3,false
"101051100","101051","Serviços de construção de guias-corrente, espigões, quebra-mares, canais de acesso, bacias de evolução, balizamento e sinalização, derrocagens e dragagens.",4,true
"101051900","101051","Outros serviços de construção de infraestrutura de proteção e acesso aquaviário",4,true
"101052","10105","Serviços de construção de infraestrutura de acostagem aquaviária",3,false
"101052100","101052","Serviços de construção de ancoradouros, docas, cais, pontes, dolfins e píeres",4,true
"101052900","101052","Outros serviços de construção de infraestrutura de acostagem aquaviária",4,true
"101053","10105","Serviços de construção de infraestrutura terrestre nos portos",3,false
"101053100","101053","Serviços de construção de armazéns, inclusive os especiais, silos, pátios e vias de circulação",4,true
"101053900","101053","Outros serviços de construção de infraestrutura terrestre nos portos",4,true
"10106","101","Serviços de construção de barragens, adutoras, sistemas de irrigação e de outros sistemas de captação, adução, contenção e armazenamento de água",2,false
