Código;Descrição
101;Serviços de construção
10101;Serviços de construção de edificações residenciais
101011000;Serviços de construção de edificações residenciais de um e dois pavimentos
101012000;Serviços de construção de edificações residenciais com mais de dois pavimentos
10102;Serviços de construção de edificações não residenciais
101021000;Serviços de construção de edificações industriais
101022000;Serviços de construção de edificações comerciais
101029000;Outros serviços de construção de edificações não residenciais
10103;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas, estradas, estradas férreas e pistas de pouso e decolagem em aeroportos e infraestrutura aeroportuária
101031000;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas.
101032000;Serviços de construção de estradas férreas 
101033000;Serviços de construção de pistas de pouso e decolagem em aeroportos
101034000;Serviços de construção de infraestrutura aeroportuária
101040000;Serviços de construção de pontes, autoestradas elevadas e túneis
10105;Serviços de construção de portos e sua infraestrutura
101051;Serviços de construção de infraestrutura de proteção e acesso aquaviário
101051100;Serviços de construção de guias-corrente, espigões, quebra-mares, canais de acesso, bacias de evolução, balizamento e sinalização, derrocagens e dragagens.
101051900;Outros serviços de construção de infraestrutura de proteção e acesso aquaviário
101052;Serviços de construção de infraestrutura de acostagem aquaviária
101052100;Serviços de construção de ancoradouros, docas, cais, pontes, dolfins e píeres
101052900;Outros serviços de construção de infraestrutura de acostagem aquaviária
101053;Serviços de construção de infraestrutura terrestre nos portos
101053100;Serviços de construção de armazéns, inclusive os especiais, silos, pátios e vias de circulação
101053900;Outros serviços de construção de infraestrutura terrestre nos portos
10106;Serviços de construção de barragens, adutoras, sistemas de irrigação e de outros sistemas de captação, adução, contenção e armazenamento de água
101061000;Serviços de construção de barragens e adutoras
101062;Serviços de construção de sistemas de irrigação, de esgotos e de unidades para tratamento e purificação de água   
101062100;Serviços de construção de sistemas de irrigação   
101062200;Serviços de construção de sistemas de esgotos
101062300;Serviços de construção de sistemas de unidades para tratamento e purificação de água   
101069000;Outros serviços de construção de sistemas hídricos
10107;Serviços de construção de dutos e linhas de comunicação de longo curso e de linhas de transmissão de alta tensão
101071;Serviços de construção de dutos de longo curso
101071100;Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás
101071200;Serviços de construção de dutos de longo curso para o transporte e escoamento de águas e esgotos
101071900;Serviços de construção de outros dutos de longo curso 
101072;Serviços de construção de linhas de comunicação de longo curso e linhas de transmissão de alta tensão 
101072100;Serviços de construção de linhas de comunicação de longo curso
1010722;Serviços de construção de linhas de transmissão de alta tensão 
101072210;Serviços de construção de linhas de transmissão de alta tensão em corrente contínua 
101072220;Serviços de construção de linhas de transmissão de alta tensão em corrente alternada 
10108;Serviços de construção de dutos e linhas locais de transmissão, de baixa e média tensão, e de comunicação e outros serviços de construção relacionados
101081000;Serviços de construção de dutos locais
101082;Serviços de construção de linhas locais de transmissão, de baixa e média tensão, e de comunicação e outros serviços relacionados
1010821;Serviços de construção de linhas locais de transmissão, de baixa e média tensão, e de comunicação 
101082110;Serviços de construção de linhas locais de transmissão de baixa e média tensão 
101082120;Serviços de construção de linhas locais de comunicação 
101082900;Outros serviços de construção relacionados
10109;Serviços de construção de usinas de geração de energia e subestações de força
101091000;Serviços de construção de usinas de geração de energia
101092000;Serviços de construção de subestações de força
10110;Serviços de construção de minas e suas unidades industriais, exceto usinas de geração de energia e subestações de força
101101000;Serviços de construção de minas
101102000;Serviços de construção de unidades industriais relacionadas à mineração
101110000;Serviços de construção de instalações para recreação e atividades desportivas ao ar livre
101120000;Outros serviços de construção civil não classificados nas posições anteriores 
101130000;Serviços de demolição
101140000;Serviços de preparação de terrenos e construção de canteiros de obras
101150000;Serviços de escavação e remoção de terra
10116;Serviços de perfuração de poços de água e de instalação de sistemas sépticos
101161000;Serviços de perfuração de poços de água
101162000;Serviços de instalação de sistemas sépticos
101170000;Serviços de montagem e edificação de construções pré-fabricadas
10118;Serviços de fundação e estaqueamento
101181000;Serviços de estaqueamento
101182000;Serviços de fundação
10119;Serviços de construção de estruturas
101191000;Serviços de construção de estruturas de prédios
101192000;Serviços de construção de estruturas de telhados e coberturas
101200000;Serviços de construção de telhados e coberturas e serviços de impermeabilização
101210000;Serviços de concretagem
101220000;Serviços de estruturas de aço estrutural
101230000;Serviços de alvenaria
101240000;Serviços de andaimes
101250000;Outros serviços especializados de construção
10126;Serviços de instalação elétrica
101261000;Serviços de instalação de fiação elétrica e componentes 
101262000;Serviços de instalação de alarmes contra incêndio
101263000;Serviços de instalação de sistemas de alarmes antifurto
101264000;Serviços de instalação de antenas residenciais
101269000;Outros serviços de instalação elétrica
10127;Serviços de tubulação para fornecimento e escoamento de águas
101271000;Serviços de tubulação para fornecimento de água
101272000;Serviços de tubulação de escoamento de água
10128;Serviços de instalação de aquecimento, ventilação e ar condicionado
101281000;Serviços de instalação de aquecimento
101282000;Serviços de instalação de ventilação e ar condicionado
101290000;Serviços de instalação de gás
101300000;Serviços de isolamento
10131;Outros serviços de instalação
101311000;Serviços de instalação de elevadores, esteiras e escadas rolantes
101319000;Outros serviços de instalação 
101320000;Serviços de vidraçaria
101330000;Serviços de gesso
101340000;Serviços de pintura
101350000;Serviços de assentamento de revestimentos em paredes e pisos
101360000;Outros serviços de cobertura de pisos e paredes e papel de parede
101370000;Serviços de carpintaria e serralheria, inclusive suas instalações e montagens
101380000;Serviços de instalação de cercas e grades
101390000;Outros serviços de acabamento das construções
102;Serviços de distribuição de mercadorias, serviços de despachante aduaneiro
102010000;Serviços de agentes de distribuição de mercadorias 
102020000;Comércio atacadista
102030000;Comércio varejista 
10204;Serviços de despachante aduaneiro
102041000;Serviços de despachante aduaneiro na importação
102042000;Serviços de despachante aduaneiro na exportação
102050000;Serviços de agentes na comercialização de energia elétrica 
103;Fornecimento de alimentação e bebidas e serviços de hospedagem
10301;Fornecimento de alimentação, incluindo refeições
103011000;Fornecimento de refeições acompanhado de serviços de restaurante
103012;Fornecimento de refeições com serviços limitados de restaurante
103012100;Fornecimento de refeições pelo sistema de autosserviço (self-service)
103012200;"Fornecimento de comidas do tipo ""comidas rápidas"" (fast-food)"
103012900;Outros fornecimentos de refeições com serviços limitados de restaurante
