"codigo","codigoPai","descricao","nivel","ehFolha"
"01",,"Animais vivos",1,false
"0101","01","Cavalos, asininos e muares, vivos.",2,false
"01012","0101","Cavalos:",3,false
"01012100","01012","Reprodutores de raça pura",4,true
"01012900","01012","Outros",4,true
"01013000","0101","Asininos",3,true
"01019000","0101","Outros",3,true
"0102","01","Animais vivos da espécie bovina.",2,false
"01022","0102","Bovinos domésticos:",3,false
"010221","01022","Reprodutores de raça pura",4,false
"01022110","010221","Prenhes ou com cria ao pé",5,true
"01022190","010221","Outros",5,true
"010229","01022","Outros",4,false
"0102291","010229","Para reprodução",5,false
"01022911","0102291","Prenhes ou com cria ao pé",6,true
"01022919","0102291","Outros",6,true
"01022990","010229","Outros",5,true
"01023","0102","Búfalos:",3,false
"010231","01023","Reprodutores de raça pura",4,false
"01023110","010231","Prenhes ou com cria ao pé",5,true
"01023190","010231","Outros",5,true
"010239","01023","Outros",4,false
"0102391","010239","Para reprodução",5,false
"01023911","0102391","Prenhes ou com cria ao pé",6,true
"01023919","0102391","Outros",6,true
"01023990","010239","Outros",5,true
"01029000","0102","Outros",3,true
"0103","01","Animais vivos da espécie suína.",2,false
"01031000","0103","Reprodutores de raça pura",3,true
"01039","0103","Outros:",3,false
"01039100","01039","De peso inferior a 50 kg",4,true
"01039200","01039","De peso igual ou superior a 50 kg",4,true
"0104","01","Animais vivos das espécies ovina e caprina.",2,false
"010410","0104","Ovinos",3,false
"0104101","010410","Reprodutores de raça pura",4,false
"01041011","0104101","Prenhes ou com cria ao pé",5,true
"01041019","0104101","Outros",5,true
"01041090","010410","Outros",4,true
"010420","0104","Caprinos",3,false
"01042010","010420","Reprodutores de raça pura",4,true
"01042090","010420","Outros",4,true
"0105","01","Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.",2,false
"01051","0105","De peso não superior a 185 g:",3,false
"010511","01051","Galos e galinhas",4,false
"01051110","010511","De linhas puras ou híbridas, para reprodução",5,true
"01051190","010511","Outros",5,true
"01051200","01051","Peruas e perus",4,true
"01051300","01051","Patos",4,true
"01051400","01051","Gansos",4,true
"01051500","01051","Galinhas-d'angola (pintadas)",4,true
"01059","0105","Outros:",3,false
"01059400","01059","Galos e galinhas",4,true
"01059900","01059","Outros",4,true
"0106","01","Outros animais vivos.",2,false
"01061","0106","Mamíferos:",3,false
"01061100","01061","Primatas",4,true
"01061200","01061","Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",4,true
"01061300","01061","Camelos e outros camelídeos (camelidae)",4,true
"01061400","01061","Coelhos e lebres",4,true
"01061900","01061","Outros",4,true
"01062000","0106","Répteis (incluindo as serpentes e as tartarugas marinhas)",3,true
"01063","0106","Aves:",3,false
"01063100","01063","Aves de rapina",4,true
"01063200","01063","Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas)",4,true
"010633","01063","Avestruzes; emus (dromaius novaehollandiae)",4,false
"01063310","010633","Avestruzes (struthio camelus), para reprodução",5,true
"01063390","010633","Outros",5,true
"01063900","01063","Outras",4,true
"01064","0106","Insetos:",3,false
"01064100","01064","Abelhas",4,true
"01064900","01064","Outros",4,true
"01069000","0106","Outros",3,true
"02",,"Carnes e miudezas, comestíveis",1,false
"0201","02","Carnes de animais da espécie bovina, frescas ou refrigeradas.",2,false
"02011000","0201","Carcaças e meias-carcaças",3,true
"020120","0201","Outras peças não desossadas",3,false
"02012010","020120","Quartos dianteiros",4,true
"02012020","020120","Quartos traseiros",4,true
"02012090","020120","Outras",4,true
"02013000","0201","Desossadas",3,true
"0202","02","Carnes de animais da espécie bovina, congeladas.",2,false
"02021000","0202","Carcaças e meias-carcaças",3,true
"020220","0202","Outras peças não desossadas",3,false
"02022010","020220","Quartos dianteiros",4,true
"02022020","020220","Quartos traseiros",4,true
"02022090","020220","Outras",4,true
"02023000","0202","Desossadas",3,true
"0203","02","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.",2,false
"02031","0203","Frescas ou refrigeradas:",3,false
"02031100","02031","Carcaças e meias-carcaças",4,true
"02031200","02031","Pernas, pás e respectivos pedaços, não desossados",4,true
"02031900","02031","Outras",4,true
"02032","0203","Congeladas:",3,false
"02032100","02032","Carcaças e meias-carcaças",4,true
"02032200","02032","Pernas, pás e respectivos pedaços, não desossados",4,true
"02032900","02032","Outras",4,true
"0204","02","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.",2,false
"02041000","0204","Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas",3,true
"02042","0204","Outras carnes de animais da espécie ovina, frescas ou refrigeradas:",3,false
"02042100","02042","Carcaças e meias-carcaças",4,true
"02042200","02042","Outras peças não desossadas",4,true
"02042300","02042","Desossadas",4,true
"02043000","0204","Carcaças e meias-carcaças de cordeiro, congeladas",3,true
"02044","0204","Outras carnes de animais da espécie ovina, congeladas:",3,false
"02044100","02044","Carcaças e meias-carcaças",4,true
"02044200","02044","Outras peças não desossadas",4,true
"02044300","02044","Desossadas",4,true
"02045000","0204","Carnes de animais da espécie caprina",3,true
"02050000","02","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",2,true
"0206","02","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",2,false
"02061000","0206","Da espécie bovina, frescas ou refrigeradas",3,true
"02062","0206","Da espécie bovina, congeladas:",3,false
"02062100","02062","Línguas",4,true
"02062200","02062","Fígados",4,true
"020629","02062","Outras",4,false
"02062910","020629","Rabos",5,true
"02062990","020629","Outros",5,true
"02063000","0206","Da espécie suína, frescas ou refrigeradas",3,true
"02064","0206","Da espécie suína, congeladas:",3,false
"02064100","02064","Fígados",4,true
"02064900","02064","Outras",4,true
"02068000","0206","Outras, frescas ou refrigeradas",3,true
"02069000","0206","Outras, congeladas",3,true
"0207","02","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.",2,false
"02071","0207","De galos e de galinhas:",3,false
"02071100","02071","Não cortadas em pedaços, frescas ou refrigeradas",4,true
"02071200","02071","Não cortadas em pedaços, congeladas",4,true
"02071300","02071","Pedaços e miudezas, frescos ou refrigerados",4,true
"02071400","02071","Pedaços e miudezas, congelados",4,true
"02072","0207","De peruas e de perus:",3,false
"02072400","02072","Não cortadas em pedaços, frescas ou refrigeradas",4,true
"02072500","02072","Não cortadas em pedaços, congeladas",4,true
"02072600","02072","Pedaços e miudezas, frescos ou refrigerados",4,true
"02072700","02072","Pedaços e miudezas, congelados",4,true
"02074","0207","De patos:",3,false
"02074100","02074","Não cortadas em pedaços, frescas ou refrigeradas",4,true
"02074200","02074","Não cortadas em pedaços, congeladas",4,true
"02074300","02074","Fígados gordos (foies gras), frescos ou refrigerados",4,true
"02074400","02074","Outras, frescas ou refrigeradas",4,true
"02074500","02074","Outras, congeladas",4,true
"02075","0207","De gansos:",3,false
"02075100","02075","Não cortadas em pedaços, frescas ou refrigeradas",4,true
"02075200","02075","Não cortadas em pedaços, congeladas",4,true
"02075300","02075","Fígados gordos (foies gras), frescos ou refrigerados",4,true
"02075400","02075","Outras, frescas ou refrigeradas",4,true
"02075500","02075","Outras, congeladas",4,true
"02076000","0207","De galinhas-d'angola (pintadas)",3,true
"0208","02","Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.",2,false
"02081000","0208","De coelhos ou de lebres",3,true
"02083000","0208","De primatas",3,true
"02084000","0208","De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",3,true
"02085000","0208","De répteis (incluindo as serpentes e as tartarugas marinhas)",3,true
"02086000","0208","De camelos e de outros camelídeos (camelidae)",3,true
"02089000","0208","Outras",3,true
"0209","02","Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.",2,false
"020910","0209","De porco",3,false
"0209101","020910","Toucinho",4,false
"02091011","0209101","Fresco, refrigerado ou congelado",5,true
"02091019","0209101","Outros",5,true
"0209102","020910","Gordura",4,false
"02091021","0209102","Fresca, refrigerada ou congelada",5,true
"02091029","0209102","Outras",5,true
"02099000","0209","Outros",3,true
"0210","02","Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.",2,false
"02101","0210","Carnes da espécie suína:",3,false
"02101100","02101","Pernas, pás e respectivos pedaços, não desossados",4,true
"02101200","02101","Toucinhos entremeados e seus pedaços",4,true
"02101900","02101","Outras",4,true
"02102000","0210","Carnes da espécie bovina",3,true
"02109","0210","Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:",3,false
"02109100","02109","De primatas",4,true
"02109200","02109","De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",4,true
"02109300","02109","De répteis (incluindo as serpentes e as tartarugas marinhas)",4,true
"02109900","02109","Outras",4,true
"03",,"Peixes e crustáceos, moluscos e outros\tinvertebrados aquáticos",1,false
"0301","03","Peixes vivos.",2,false
"03011","0301","Peixes ornamentais:",3,false
"030111","03011","De água doce",4,false
"03011110","030111","Aruanã (osteoglossum bicirrhosum)",5,true
"03011190","030111","Outros",5,true
"03011900","03011","Outros",4,true
"03019","0301","Outros peixes vivos:",3,false
"030191","03019","Trutas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache e oncorhynchus chrysogaster)",4,false
"03019110","030191","Para reprodução",5,true
"03019190","030191","Outras",5,true
"030192","03019","Enguias (anguilla spp.)",4,false
"03019210","030192","Para reprodução",5,true
"03019290","030192","Outras",5,true
"030193","03019","Carpas (cyprinus carpio, carassius carassius, ctenopharyngodon idellus, hypophthalmichthys spp., cirrhinus spp., mylopharyngodon piceus)",4,false
"03019310","030193","Para reprodução",5,true
"03019390","030193","Outras",5,true
"030194","03019","Atuns azuis (thunnus thynnus, thunnus orientalis)",4,false
"03019410","030194","Para reprodução",5,true
"03019490","030194","Outras",5,true
"030195","03019","Atum azul do sul (thunnus maccoyii)",4,false
"03019510","030195","Para reprodução",5,true
"03019590","030195","Outros",5,true
"030199","03019","Outros",4,false
"0301991","030199","Para reprodução",5,false
"03019911","0301991","Tilápias (tilapia spp., oreochromis spp., sarotherodon spp., danakilia spp.; seus híbridos)",6,true
"03019912","0301991","Esturjões (acipenser baeri, acipenser gueldenstaedtii, acipenser persicus, acipenser stellatus)",6,true
"03019919","0301991","Outros",6,true
"0301999","030199","Outros",5,false
"03019991","0301999","Tilápias (tilapia spp., oreochromis spp., sarotherodon spp., danakilia spp.; seus híbridos)",6,true
"03019992","0301999","Esturjões (acipenser baeri, acipenser gueldenstaedtii, acipenser persicus, acipenser stellatus)",6,true
"03019999","0301999","Outros",6,true
"0302","03","Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.",2,false
"03021","0302","Salmonídeos, exceto fígados, ovas e sêmen:",3,false
"03021100","03021","Trutas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache e oncorhynchus chrysogaster)",4,true
"03021300","03021","Salmões-do-pacífico (oncorhynchus nerka, oncorhynchus gorbuscha, oncorhynchus keta, oncorhynchus tschawytscha, oncorhynchus kisutch, oncorhynchus masou e oncorhynchus rhodurus)",4,true
"03021400","03021","Salmão-do-atlântico (salmo salar) e salmão-do-danúbio (hucho hucho)",4,true
"03021900","03021","Outros",4,true
"03022","0302","Peixes chatos (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae e citharidae), exceto fígados, ovas e sêmen:",3,false
"03022100","03022","Linguados-gigantes (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis)",4,true
"03022200","03022","Solha (pleuronectes platessa)",4,true
"03022300","03022","Linguados (solea spp.)",4,true
"03022400","03022","Pregado (psetta maxima)",4,true
"03022900","03022","Outros",4,true
"03023","0302","Atuns (do gênero thunnus), bonito-listrado (euthynnus (katsuwonus) pelamis), exceto fígados, ovas e sêmen:",3,false
"03023100","03023","Albacora-branca (thunnus alalunga)",4,true
"03023200","03023","Albacora-laje (thunnus albacares)",4,true
"03023300","03023","Bonito-listrado",4,true
"03023400","03023","Albacora-bandolim (thunnus obesus)",4,true
"03023500","03023","Atuns azuis (thunnus thynnus, thunnus orientalis)",4,true
"03023600","03023","Atum azul do sul (thunnus maccoyii)",4,true
"03023900","03023","Outros",4,true
"03024","0302","Arenques (clupea harengus, clupea pallasii), anchovas (engraulis spp.), sardinhas (sardina pilchardus, sardinops spp., sardinella spp.), anchoveta (sprattus sprattus), cavalinhas (scomber scombrus, scomber australasicus, scomber japonicus), chicharros (trachurus spp.), bijupirá (rachycentron canadum) e espadarte (xiphias gladius), exceto fígados, ovas e sêmen:",3,false
"03024100","03024","Arenques (clupea harengus, clupea pallasii)",4,true
"030242","03024","Anchovas (engraulis spp.)",4,false
"03024210","030242","Anchoita (engraulis anchoita)",5,true
"03024290","030242","Outros",5,true
"03024300","03024","Sardinhas (sardina pilchardus, sardinops spp., sardinella spp.), anchoveta (sprattus sprattus)",4,true
"03024400","03024","Cavalinhas (scomber scombrus, scomber australasicus, scomber japonicus)",4,true
"03024500","03024","Chicharros (trachurus spp.)",4,true
"03024600","03024","Bijupirá (rachycentron canadum)",4,true
"03024700","03024","Espadarte (xiphias gladius)",4,true
"03025","0302","Peixes das famílias bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae e muraenolepididae, exceto fígados, ovas e sêmen:",3,false
"03025100","03025","Bacalhau-do-atlântico (gadus mohrua), bacalhau-da-groelândia (gadus ogac) e bacalhau-do-pacífico (gadus macrocephalus)",4,true
"03025200","03025","Haddock ou lubina (melanogrammus aeglefinus)",4,true
"03025300","03025","Saithe (pollachius virens)",4,true
"03025400","03025","Merluzas e abróteas (merluccius spp., urophycis spp.)",4,true
"03025500","03025","Merluza-do-alasca (theragra chalcogramma)",4,true
"03025600","03025","Verdinhos (micromesistius poutassou, micromesistius australis)",4,true
"03025900","03025","Outros",4,true
"03027","0302","Tilápias (oreochromis spp.), bagres (pangasius spp., silurus spp., clarias spp., ictalurus spp.), carpas (cyprinus carpio, carassius carassius, ctenopharyngodon idellus, hypophthalmichthys spp., cirrhinus spp., mylopharyngodon piceus), enguias (anguilla spp.), perca-do-nilo (lates niloticus) e peixes cabeça-de-serpente (channa spp.), exceto fígados, ovas e sêmen:",3,false
"03027100","03027","Tilápias (oreochromis spp.)",4,true
"030272","03027","Bagres (pangasius spp., silurus spp., clarias spp., ictalurus spp.)",4,false
"03027210","030272","Bagre (ictalurus puntactus)",5,true
"03027290","030272","Outros",5,true
"03027300","03027","Carpas (cyprinus carpio, carassius carassius, ctenopharyngodon idellus, hypophtalmichtys spp., mylopharyngodon piceus)",4,true
"03027400","03027","Enguias (anguilla spp.)",4,true
"03027900","03027","Outros",4,true
"03028","0302","Outros peixes, exceto fígados, ovas e sêmen:",3,false
"03028100","03028","Cação e outros tubarões",4,true
"03028200","03028","Raias (rajidae)",4,true
"030283","03028","Merluza negra e merluza antártica (dissostichus spp.)",4,false
"03028310","030283","Merluza negra (dissostichus eleginoides)",5,true
"03028320","030283","Merluza antártica (dissostichus mawsoni)",5,true
"03028400","03028","Robalos (dicentrarchus spp.)",4,true
"03028500","03028","Pargos ou sargos (sparidae)",4,true
"030289","03028","Outros",4,false
"0302891","030289","Agulhões (istiophorus spp., tetrapturus spp., makaira spp.) e pargo (lutjanus purpureus)",5,false
